formula_pretty,symmetry.number,symmetry.crystal_system,symmetry.symbol,symmetry.point_group
SmGa2,191,Hexagonal,P6/mmm,6/mmm
ErPt2,227,Cubic,Fd-3m,m-3m
ScPt3,221,Cubic,Pm-3m,m-3m
Te3As2,12,Monoclinic,C2/m,2/m
ZrNi3,194,Hexagonal,P6_3/mmc,6/mmm
NiP2,15,Monoclinic,C2/c,2/m
MnP4,2,Triclinic,P-1,-1
CuSe,194,Hexagonal,P6_3/mmc,6/mmm
Ge4Ir,152,Trigonal,P3_121,32
La3Se4,220,Cubic,I-43d,-43m
TiN,225,Cubic,Fm-3m,m-3m
Co2B,140,Tetragonal,I4/mcm,4/mmm
GeMo3,223,Cubic,Pm-3n,m-3m
LuGa3,221,Cubic,Pm-3m,m-3m
SrSi2,212,Cubic,P4_332,432
AgO,66,Orthorhombic,Cccm,mmm
TaSe2,194,Hexagonal,P6_3/mmc,6/mmm
SrIr2,227,Cubic,Fd-3m,m-3m
Sm2Tl,194,Hexagonal,P6_3/mmc,6/mmm
RhPb2,140,Tetragonal,I4/mcm,4/mmm
TlS,140,Tetragonal,I4/mcm,4/mmm
LaF3,139,Tetragonal,I4/mmm,4/mmm
Zr2Ni,140,Tetragonal,I4/mcm,4/mmm
ScAl,221,Cubic,Pm-3m,m-3m
HfFe2,227,Cubic,Fd-3m,m-3m
LaF3,185,Hexagonal,P6_3cm,6mm
BaGa4,139,Tetragonal,I4/mmm,4/mmm
SmCo2,227,Cubic,Fd-3m,m-3m
PuBe13,226,Cubic,Fm-3c,m-3m
UMn2,227,Cubic,Fd-3m,m-3m
PbF4,139,Tetragonal,I4/mmm,4/mmm
SmTe,225,Cubic,Fm-3m,m-3m
PrN,225,Cubic,Fm-3m,m-3m
BN,9,Monoclinic,Cc,m
BaTe,225,Cubic,Fm-3m,m-3m
BaN2,15,Monoclinic,C2/c,2/m
TbGe2,65,Orthorhombic,Cmmm,mmm
Nb3Si,221,Cubic,Pm-3m,m-3m
FeP,62,Orthorhombic,Pnma,mmm
DySb,225,Cubic,Fm-3m,m-3m
NiHg,221,Cubic,Pm-3m,m-3m
SrSi6,63,Orthorhombic,Cmcm,mmm
MnB4,71,Orthorhombic,Immm,mmm
ZrMn2,194,Hexagonal,P6_3/mmc,6/mmm
ZrMn2,194,Hexagonal,P6_3/mmc,6/mmm
PuGe2,141,Tetragonal,I4_1/amd,4/mmm
Zr3O,182,Hexagonal,P6_322,622
YNi2,227,Cubic,Fd-3m,m-3m
TaRh3,221,Cubic,Pm-3m,m-3m
K2S,225,Cubic,Fm-3m,m-3m
Ho2Co17,194,Hexagonal,P6_3/mmc,6/mmm
Lu,194,Hexagonal,P6_3/mmc,6/mmm
V,229,Cubic,Im-3m,m-3m
Se,148,Trigonal,R-3,-3
Ge,69,Orthorhombic,Fmmm,mmm
Si,227,Cubic,Fd-3m,m-3m
Fe,225,Cubic,Fm-3m,m-3m
Tl,225,Cubic,Fm-3m,m-3m
Mg,194,Hexagonal,P6_3/mmc,6/mmm
N2,198,Cubic,P2_13,23
Gd,194,Hexagonal,P6_3/mmc,6/mmm
La,225,Cubic,Fm-3m,m-3m
P,64,Orthorhombic,Cmce,mmm
As,64,Orthorhombic,Cmce,mmm
Nd,225,Cubic,Fm-3m,m-3m
B,166,Trigonal,R-3m,-3m
B,166,Trigonal,R-3m,-3m
Si,194,Hexagonal,P6_3/mmc,6/mmm
Cs,229,Cubic,Im-3m,m-3m
As,221,Cubic,Pm-3m,m-3m
Hf,229,Cubic,Im-3m,m-3m
Ir,225,Cubic,Fm-3m,m-3m
Co,225,Cubic,Fm-3m,m-3m
Hf,194,Hexagonal,P6_3/mmc,6/mmm
Sb,166,Trigonal,R-3m,-3m
Te,51,Orthorhombic,Pmma,mmm
Pu,229,Cubic,Im-3m,m-3m
U,229,Cubic,Im-3m,m-3m
Si,69,Orthorhombic,Fmmm,mmm
As,166,Trigonal,R-3m,-3m
Mg,229,Cubic,Im-3m,m-3m
Ne,225,Cubic,Fm-3m,m-3m
Y,194,Hexagonal,P6_3/mmc,6/mmm
Tc,194,Hexagonal,P6_3/mmc,6/mmm
Pu,225,Cubic,Fm-3m,m-3m
PdF2,136,Tetragonal,P4_2/mnm,4/mmm
NdCd,221,Cubic,Pm-3m,m-3m
PrPt2,227,Cubic,Fd-3m,m-3m
CeMg,221,Cubic,Pm-3m,m-3m
LaSb,225,Cubic,Fm-3m,m-3m
LiAl,227,Cubic,Fd-3m,m-3m
CuS2,205,Cubic,Pa-3,m-3
HfSi2,63,Orthorhombic,Cmcm,mmm
CdSe,186,Hexagonal,P6_3mc,6mm
Nb5Ga13,65,Orthorhombic,Cmmm,mmm
CaCd,221,Cubic,Pm-3m,m-3m
RbSi,218,Cubic,P-43n,-43m
SmNi5,191,Hexagonal,P6/mmm,6/mmm
KB6,221,Cubic,Pm-3m,m-3m
B2Ru,59,Orthorhombic,Pmmn,mmm
CaCd2,194,Hexagonal,P6_3/mmc,6/mmm
V3S4,12,Monoclinic,C2/m,2/m
LaOs2,227,Cubic,Fd-3m,m-3m
SbPd,194,Hexagonal,P6_3/mmc,6/mmm
Mg5Ga2,72,Orthorhombic,Ibam,mmm
NO2,14,Monoclinic,P2_1/c,2/m
ReB2,194,Hexagonal,P6_3/mmc,6/mmm
ErB2,191,Hexagonal,P6/mmm,6/mmm
SnAu,194,Hexagonal,P6_3/mmc,6/mmm
UN2,225,Cubic,Fm-3m,m-3m
Li15Ge4,220,Cubic,I-43d,-43m
BeO,216,Cubic,F-43m,-43m
ScRh,221,Cubic,Pm-3m,m-3m
NdRu2,227,Cubic,Fd-3m,m-3m
ScSe,225,Cubic,Fm-3m,m-3m
MnS,216,Cubic,F-43m,-43m
CsF,225,Cubic,Fm-3m,m-3m
PrSb,225,Cubic,Fm-3m,m-3m
Ti3Au,223,Cubic,Pm-3n,m-3m
TiAl,123,Tetragonal,P4/mmm,4/mmm
P3N5,44,Orthorhombic,Imm2,mm2
ErCu,221,Cubic,Pm-3m,m-3m
TmGa2,74,Orthorhombic,Imma,mmm
SrTe,225,Cubic,Fm-3m,m-3m
PuO2,225,Cubic,Fm-3m,m-3m
Li2O,225,Cubic,Fm-3m,m-3m
TiAg,123,Tetragonal,P4/mmm,4/mmm
NbRh,123,Tetragonal,P4/mmm,4/mmm
Cu3As,220,Cubic,I-43d,-43m
TaTe2,12,Monoclinic,C2/m,2/m
La2O3,164,Trigonal,P-3m1,-3m
NbSb2,12,Monoclinic,C2/m,2/m
HoCu,221,Cubic,Pm-3m,m-3m
NbGa3,139,Tetragonal,I4/mmm,4/mmm
CeB4,127,Tetragonal,P4/mbm,4/mmm
TmN,225,Cubic,Fm-3m,m-3m
PtO2,164,Trigonal,P-3m1,-3m
Pd7Se2,14,Monoclinic,P2_1/c,2/m
UB4,127,Tetragonal,P4/mbm,4/mmm
HgPt,123,Tetragonal,P4/mmm,4/mmm
B6As,166,Trigonal,R-3m,-3m
Mg3Ru2,213,Cubic,P4_132,432
La4Rh3,220,Cubic,I-43d,-43m
NpSe,225,Cubic,Fm-3m,m-3m
Zr2Co,140,Tetragonal,I4/mcm,4/mmm
TiC,225,Cubic,Fm-3m,m-3m
TmCo2,227,Cubic,Fd-3m,m-3m
LaSn3,221,Cubic,Pm-3m,m-3m
HgS,152,Trigonal,P3_121,32
ScRh3,221,Cubic,Pm-3m,m-3m
YB4,127,Tetragonal,P4/mbm,4/mmm
SrZn5,191,Hexagonal,P6/mmm,6/mmm
US2,62,Orthorhombic,Pnma,mmm
Mo3Pt,223,Cubic,Pm-3n,m-3m
Cu6Sn5,15,Monoclinic,C2/c,2/m
LuAl2,227,Cubic,Fd-3m,m-3m
TiIr,123,Tetragonal,P4/mmm,4/mmm
NdAg,221,Cubic,Pm-3m,m-3m
UGe2,65,Orthorhombic,Cmmm,mmm
Sb3Ir,204,Cubic,Im-3,m-3
HoS,225,Cubic,Fm-3m,m-3m
BaAg2,191,Hexagonal,P6/mmm,mmm
Ga2O3,167,Trigonal,R-3c,-3m
SrGe2,62,Orthorhombic,Pnma,mmm
Sr2N,166,Trigonal,R-3m,-3m
Fe4C,215,Cubic,P-43m,-43m
Sb2Ir,14,Monoclinic,P2_1/c,2/m
MgF2,136,Tetragonal,P4_2/mnm,4/mmm
Lu2In,194,Hexagonal,P6_3/mmc,6/mmm
VRh,123,Tetragonal,P4/mmm,4/mmm
V3Co,223,Cubic,Pm-3n,m-3m
NdSb,225,Cubic,Fm-3m,m-3m
C11F7,12,Monoclinic,C2/m,2/m
TiCr2,194,Hexagonal,P6_3/mmc,6/mmm
Be12Cr,139,Tetragonal,I4/mmm,4/mmm
Al4C3,166,Trigonal,R-3m,-3m
Ag2Te,14,Monoclinic,P2_1/c,2/m
Ni2Ge,194,Hexagonal,P6_3/mmc,6/mmm
Nb2O5,12,Monoclinic,C2/m,2/m
UO2,225,Cubic,Fm-3m,m-3m
Na3P,194,Hexagonal,P6_3/mmc,6/mmm
BN,8,Monoclinic,Cm,m
BaHg11,221,Cubic,Pm-3m,m-3m
TaRu,123,Tetragonal,P4/mmm,4/mmm
SiS2,72,Orthorhombic,Ibam,mmm
TmGa3,221,Cubic,Pm-3m,m-3m
Pt3O4,223,Cubic,Pm-3n,m-3m
Te2Os,205,Cubic,Pa-3,m-3
USe,225,Cubic,Fm-3m,m-3m
ErSi2,191,Hexagonal,P6/mmm,6/mmm
KGe,218,Cubic,P-43n,-43m
SrGe,63,Orthorhombic,Cmcm,mmm
NpIr2,227,Cubic,Fd-3m,m-3m
BaTe2,140,Tetragonal,I4/mcm,4/mmm
Mg17Al12,217,Cubic,I-43m,-43m
YNi5,191,Hexagonal,P6/mmm,6/mmm
CeP,225,Cubic,Fm-3m,m-3m
TiS2,164,Trigonal,P-3m1,-3m
Co3W,194,Hexagonal,P6_3/mmc,6/mmm
DyTe,225,Cubic,Fm-3m,m-3m
Sb2Se3,62,Orthorhombic,Pnma,mmm
Er6Fe23,225,Cubic,Fm-3m,m-3m
HoRh,221,Cubic,Pm-3m,m-3m
Mo3S4,148,Trigonal,R-3,-3
CdAg,221,Cubic,Pm-3m,m-3m
Ti3Cu4,139,Tetragonal,I4/mmm,4/mmm
CoSb,194,Hexagonal,P6_3/mmc,6/mmm
Mg3Sb2,164,Trigonal,P-3m1,-3m
Al2Au,225,Cubic,Fm-3m,m-3m
NbS2,42,Orthorhombic,Fmm2,mm2
Zr5Sb3,193,Hexagonal,P6_3/mcm,6/mmm
P4S7,14,Monoclinic,P2_1/c,2/m
PrF3,165,Trigonal,P-3c1,-3m
Y2O3,206,Cubic,Ia-3,m-3
BN,186,Hexagonal,P6_3mc,6mm
Al2S3,169,Hexagonal,P6_1,6
Nd3S4,220,Cubic,I-43d,-43m
TiO2,136,Tetragonal,P4_2/mnm,4/mmm
AlFe,221,Cubic,Pm-3m,m-3m
LiN3,12,Monoclinic,C2/m,2/m
SrSi,63,Orthorhombic,Cmcm,mmm
MnSe,216,Cubic,F-43m,-43m
Al3Ir,194,Hexagonal,P6_3/mmc,6/mmm
CaNi2,227,Cubic,Fd-3m,m-3m
Ni3P,82,Tetragonal,I-4,-4
NdC2,139,Tetragonal,I4/mmm,4/mmm
NiP3,204,Cubic,Im-3,m-3
AsRh2,225,Cubic,Fm-3m,m-3m
DyZn,221,Cubic,Pm-3m,m-3m
MoC,187,Hexagonal,P-6m2,-6m2
LaMg3,225,Cubic,Fm-3m,4/mmm
Tm2S3,11,Monoclinic,P2_1/m,2/m
CdO2,205,Cubic,Pa-3,m-3
NbO,221,Cubic,Pm-3m,m-3m
MgIn,123,Tetragonal,P4/mmm,4/mmm
LiPb,221,Cubic,Pm-3m,m-3m
NaB15,74,Orthorhombic,Imma,mmm
TmZn,221,Cubic,Pm-3m,m-3m
AlV3,223,Cubic,Pm-3n,m-3m
DyRh2,227,Cubic,Fd-3m,m-3m
PuAl3,194,Hexagonal,P6_3/mmc,6/mmm
Ag2F,164,Trigonal,P-3m1,-3m
ZnP2,14,Monoclinic,P2_1/c,2/m
Sn4Au,68,Orthorhombic,Ccce,mmm
Rb2O,225,Cubic,Fm-3m,4/mmm
VRu,221,Cubic,Pm-3m,m-3m
Rb2Te,62,Orthorhombic,Pnma,mmm
AlAu,11,Monoclinic,P2_1/m,2/m
HfW2,227,Cubic,Fd-3m,m-3m
ZrZn2,227,Cubic,Fd-3m,m-3m
SmNi2,227,Cubic,Fd-3m,m-3m
Sm2S3,62,Orthorhombic,Pnma,mmm
CdAu,51,Orthorhombic,Pmma,mmm
TbGe,63,Orthorhombic,Cmcm,mmm
MnTe,225,Cubic,Fm-3m,m-3m
Nd2Tl,194,Hexagonal,P6_3/mmc,6/mmm
InTe,221,Cubic,Pm-3m,m-3m
TmSe,225,Cubic,Fm-3m,m-3m
NdP,225,Cubic,Fm-3m,m-3m
AlPd2,62,Orthorhombic,Pnma,mmm
ErPd3,221,Cubic,Pm-3m,m-3m
Lu2S3,167,Trigonal,R-3c,-3m
YCo5,191,Hexagonal,P6/mmm,6/mmm
HfN,225,Cubic,Fm-3m,m-3m
FePd,123,Tetragonal,P4/mmm,4/mmm
Cr2Se3,148,Trigonal,R-3,-3
IrS2,62,Orthorhombic,Pnma,mmm
Dy5Si3,193,Hexagonal,P6_3/mcm,6/mmm
PrCo5,191,Hexagonal,P6/mmm,6/mmm
UNi5,216,Cubic,F-43m,-43m
CeC2,139,Tetragonal,I4/mmm,4/mmm
PuIr2,227,Cubic,Fd-3m,m-3m
Cs2UO4,139,Tetragonal,I4/mmm,4/mmm
Co2(GeTe)3,148,Trigonal,R-3,-3
La2Fe2S5,36,Orthorhombic,Cmc2_1,mm2
ThB2C,166,Trigonal,R-3m,-3m
BaTiO3,221,Cubic,Pm-3m,m-3m
Cr3GaN,221,Cubic,Pm-3m,m-3m
P2Pd3S8,164,Trigonal,P-3m1,-3m
Rb2BeF4,62,Orthorhombic,Pnma,mmm
Rb2TbF6,15,Monoclinic,C2/c,2/m
Th(GeRh)2,139,Tetragonal,I4/mmm,4/mmm
HoInCu,189,Hexagonal,P-62m,-6m2
Na6CoSe4,186,Hexagonal,P6_3mc,6mm
Nd(MnSi)2,139,Tetragonal,I4/mmm,4/mmm
Tl4SnTe3,140,Tetragonal,I4/mcm,4/mmm
BaNbO3,221,Cubic,Pm-3m,m-3m
Tl(FeSe)2,139,Tetragonal,I4/mmm,4/mmm
TbBPd3,221,Cubic,Pm-3m,m-3m
RbMnSb,129,Tetragonal,P4/nmm,4/mmm
Th(SiOs)2,139,Tetragonal,I4/mmm,4/mmm
Hg2GeSe4,82,Tetragonal,I-4,-4
Ag3AuSe2,214,Cubic,I4_132,432
CaAlSi,187,Hexagonal,P-6m2,-6m2
BaTi4O9,59,Orthorhombic,Pmmn,mmm
Nd(CuGe)2,139,Tetragonal,I4/mmm,4/mmm
Tb3(CuSi)4,71,Orthorhombic,Immm,mmm
Ta2Te2O9,14,Monoclinic,P2_1/c,2/m
Th3B2C3,10,Monoclinic,P2/m,2/m
DyBRh3,221,Cubic,Pm-3m,m-3m
TbB2Ru3,191,Hexagonal,P6/mmm,6/mmm
BaCeO3,62,Orthorhombic,Pnma,mmm
Zn(SbO3)2,136,Tetragonal,P4_2/mnm,4/mmm
Er(FeB)2,139,Tetragonal,I4/mmm,4/mmm
Ho(FeSi)2,139,Tetragonal,I4/mmm,4/mmm
Na2Si2O5,14,Monoclinic,P2_1/c,2/m
LaSiIr,198,Cubic,P2_13,23
Tm2SO2,164,Trigonal,P-3m1,-3m
Eu(CuGe)2,139,Tetragonal,I4/mmm,4/mmm
Ba5Nb4O15,164,Trigonal,P-3m1,-3m
BaSc2O4,15,Monoclinic,C2/c,2/m
Ce(SiRu)2,139,Tetragonal,I4/mmm,4/mmm
NaVSe2,166,Trigonal,R-3m,-3m
Nd(Sb3Os)4,204,Cubic,Im-3,m-3
NdPPd,194,Hexagonal,P6_3/mmc,6/mmm
Gd2(MoO4)3,32,Orthorhombic,Pba2,mm2
MnAlCu2,225,Cubic,Fm-3m,m-3m
Ca3(BO3)2,167,Trigonal,R-3c,-3m
HfGaCo2,225,Cubic,Fm-3m,m-3m
UGeSe,139,Tetragonal,I4/mmm,4/mmm
Ta4MnS8,194,Hexagonal,P6_3/mmc,6/mmm
Mg(BC)2,64,Orthorhombic,Cmce,mmm
U2AsN2,164,Trigonal,P-3m1,-3m
CaCO3,167,Trigonal,R-3c,-3m
PrPS4,142,Tetragonal,I4_1/acd,4/mmm
AlPO4,154,Trigonal,P3_221,32
Sr3UO6,14,Monoclinic,P2_1/c,2/m
Er(SiOs)2,139,Tetragonal,I4/mmm,4/mmm
CaUO4,166,Trigonal,R-3m,-3m
LaPO4,14,Monoclinic,P2_1/c,2/m
K2CO3,14,Monoclinic,P2_1/c,2/m
NaNO,14,Monoclinic,P2_1/c,2/m
K2TiF6,164,Trigonal,P-3m1,-3m
Ce2SO2,164,Trigonal,P-3m1,-3m
Ba5B4O11,19,Orthorhombic,P2_12_12_1,222
K2TaF7,14,Monoclinic,P2_1/c,2/m
CsB3O5,19,Orthorhombic,P2_12_12_1,222
SrSiO3,15,Monoclinic,C2/c,2/m
LiSbF6,148,Trigonal,R-3,-3
KCuO2,63,Orthorhombic,Cmcm,mmm
LiNb3O8,14,Monoclinic,P2_1/c,2/m
Y2Sn2O7,227,Cubic,Fd-3m,m-3m
Rb2SO4,62,Orthorhombic,Pnma,mmm
Nd4Au2O9,60,Orthorhombic,Pbcn,mmm
Nd4Ge3Rh4,15,Monoclinic,C2/c,2/m
Sr2SnO4,139,Tetragonal,I4/mmm,4/mmm
SrHfO3,62,Orthorhombic,Pnma,mmm
K2SbF5,63,Orthorhombic,Cmcm,mmm
LaRhC2,76,Tetragonal,P4_1,4
CaSiO3,127,Tetragonal,P4/mbm,4/mmm
Er3Al5O12,230,Cubic,Ia-3d,m-3m
Sr(PPd)2,139,Tetragonal,I4/mmm,4/mmm
CaSiO3,140,Tetragonal,I4/mcm,4/mmm
U(SiRu)2,139,Tetragonal,I4/mmm,4/mmm
Y(CuSi)2,139,Tetragonal,I4/mmm,4/mmm
Ba(TlHg)2,136,Tetragonal,P4_2/mnm,4/mmm
Sr3Al2O6,205,Cubic,Pa-3,m-3
SbPdSe,198,Cubic,P2_13,23
Sr(AsPd)2,139,Tetragonal,I4/mmm,4/mmm
Nd(CuO2)2,88,Tetragonal,I4_1/a,4/m
UAsS,129,Tetragonal,P4/nmm,4/mmm
BaAlF5,19,Orthorhombic,P2_12_12_1,222
K2TbF6,15,Monoclinic,C2/c,2/m
YB2Ru3,191,Hexagonal,P6/mmm,6/mmm
Nd2Fe17N3,166,Trigonal,R-3m,-3m
Nb2CS2,166,Trigonal,R-3m,-3m
CdCO3,167,Trigonal,R-3c,-3m
Cu2SO5,12,Monoclinic,C2/m,2/m
SrZrO3,62,Orthorhombic,Pnma,mmm
MgSiO3,63,Orthorhombic,Cmcm,mmm
Cs4U5O17,60,Orthorhombic,Pbcn,mmm
Pr2Sn2O7,227,Cubic,Fd-3m,m-3m
TbScGe,139,Tetragonal,I4/mmm,4/mmm
SmTaO4,15,Monoclinic,C2/c,2/m
Eu(NiP)2,139,Tetragonal,I4/mmm,4/mmm
MgGeO3,148,Trigonal,R-3,-3
VCu3S4,215,Cubic,P-43m,-43m
Te3P2O11,14,Monoclinic,P2_1/c,2/m
Sr(PO3)2,14,Monoclinic,P2_1/c,2/m
KN3O4,14,Monoclinic,P2_1/c,2/m
ErBRh3,221,Cubic,Pm-3m,m-3m
Li2Ce2Ge3,63,Orthorhombic,Cmcm,mmm
MgTiO3,148,Trigonal,R-3,-3
Cd(GaSe2)2,82,Tetragonal,I-4,-4
Na2SiF6,150,Trigonal,P321,32
Er2Mo2C3,12,Monoclinic,C2/m,2/m
BaSiN2,64,Orthorhombic,Cmce,mmm
Mg3(Al9Cr)2,227,Cubic,Fd-3m,m-3m
CrSiTe3,148,Trigonal,R-3,-3
Nd3Sb5O12,217,Cubic,I-43m,-43m
Ca2Nb2O7,227,Cubic,Fd-3m,m-3m
Li2ZrO3,15,Monoclinic,C2/c,2/m
Sr(NO3)2,205,Cubic,Pa-3,m-3
Nd2CuO4,139,Tetragonal,I4/mmm,4/mmm
Tl3PSe4,62,Orthorhombic,Pnma,mmm
Ca3Ti2O7,36,Orthorhombic,Cmc2_1,mm2
Nd2Co14B,136,Tetragonal,P4_2/mnm,4/mmm
TaNO,14,Monoclinic,P2_1/c,2/m
USiO4,141,Tetragonal,I4_1/amd,4/mmm
NaTaO3,221,Cubic,Pm-3m,m-3m
DySi2Ni,63,Orthorhombic,Cmcm,mmm
Na5GeP3,14,Monoclinic,P2_1/c,2/m
HoNiSb,216,Cubic,F-43m,-43m
ZnSnP2,122,Tetragonal,I-42d,-42m
La(SiPt)2,139,Tetragonal,I4/mmm,4/mmm
Dy(SiRu)2,139,Tetragonal,I4/mmm,4/mmm
MgGeO3,61,Orthorhombic,Pbca,mmm
Y3(AlNi3)2,229,Cubic,Im-3m,m-3m
Sr2GeS4,11,Monoclinic,P2_1/m,2/m
LaSiRu,129,Tetragonal,P4/nmm,4/mmm
NdRhO3,62,Orthorhombic,Pnma,mmm
NbCo2Sn,225,Cubic,Fm-3m,m-3m
Tl3BO3,176,Hexagonal,P6_3/m,6/m
Pr6Fe13Au,140,Tetragonal,I4/mcm,4/mmm
LiAlTe2,122,Tetragonal,I-42d,-42m
DyNiC2,38,Orthorhombic,Amm2,mm2
PrPO4,14,Monoclinic,P2_1/c,2/m
Mg(GaO2)2,227,Cubic,Fd-3m,m-3m
SrNb2O6,14,Monoclinic,P2_1/c,2/m
Mn3AlC,221,Cubic,Pm-3m,m-3m
VFe2Si,225,Cubic,Fm-3m,m-3m
Sr2RuO4,139,Tetragonal,I4/mmm,4/mmm
Pr(MnSi)2,139,Tetragonal,I4/mmm,4/mmm
RbCuC2,131,Tetragonal,P4_2/mmc,4/mmm
ErB3Mo,11,Monoclinic,P2_1/m,2/m
Mg2P2O7,12,Monoclinic,C2/m,2/m
Tb(SiOs)2,139,Tetragonal,I4/mmm,4/mmm
BaTeO3,11,Monoclinic,P2_1/m,2/m
Pr3RuO7,63,Orthorhombic,Cmcm,mmm
Y2Fe14B,136,Tetragonal,P4_2/mnm,4/mmm
FeCo2Si,225,Cubic,Fm-3m,m-3m
TmBRh3,221,Cubic,Pm-3m,m-3m
Th2Ru6C5,127,Tetragonal,P4/mbm,4/mmm
AlPO4,61,Orthorhombic,Pbca,mmm
Nb2SnC,194,Hexagonal,P6_3/mmc,6/mmm
Y3Ga5O12,230,Cubic,Ia-3d,m-3m
Li2PrO3,65,Orthorhombic,Cmmm,mmm
Sm3OsO7,63,Orthorhombic,Cmcm,mmm
FeSe2,58,Orthorhombic,Pnnm,mmm
CeCu5,191,Hexagonal,P6/mmm,6/mmm
PtS2,164,Trigonal,P-3m1,-3m
MgB2,191,Hexagonal,P6/mmm,6/mmm
CeCo5,191,Hexagonal,P6/mmm,6/mmm
As2Ru,58,Orthorhombic,Pnnm,mmm
TmAl3,221,Cubic,Pm-3m,m-3m
DyCd,221,Cubic,Pm-3m,m-3m
MnAl,123,Tetragonal,P4/mmm,4/mmm
TmSi2,191,Hexagonal,P6/mmm,6/mmm
CaNi5,191,Hexagonal,P6/mmm,6/mmm
Er5Si4,14,Monoclinic,P2_1/c,2/m
LaCd,221,Cubic,Pm-3m,m-3m
Fe2P,189,Hexagonal,P-62m,-6m2
Te2Pd,164,Trigonal,P-3m1,-3m
KZn13,226,Cubic,Fm-3c,m-3m
MnSb,194,Hexagonal,P6_3/mmc,6/mmm
Na2SO4,70,Orthorhombic,Fddd,mmm
TiAlCu2,225,Cubic,Fm-3m,m-3m
Li2B4O7,110,Tetragonal,I4_1cd,4mm
CaSnF6,148,Trigonal,R-3,-3
BaPrO3,221,Cubic,Pm-3m,m-3m
CaPtO3,63,Orthorhombic,Cmcm,mmm
CeAl3Pd2,191,Hexagonal,P6/mmm,6/mmm
K(OsO3)2,227,Cubic,Fd-3m,m-3m
PrRhO3,62,Orthorhombic,Pnma,mmm
ThGeO4,141,Tetragonal,I4_1/amd,4/mmm
U(SiPd)2,139,Tetragonal,I4/mmm,4/mmm
Sm2As4O9,2,Triclinic,P-1,-1
GdScGe,139,Tetragonal,I4/mmm,4/mmm
Sc(AlC)3,194,Hexagonal,P6_3/mmc,6/mmm
Ca11(CN5)2,136,Tetragonal,P4_2/mnm,4/mmm
La4Re6O19,197,Cubic,I23,23
LuSnPd2,225,Cubic,Fm-3m,m-3m
Nd2Fe14B,136,Tetragonal,P4_2/mnm,4/mmm
K2BeF4,62,Orthorhombic,Pnma,mmm
ScNiSn,62,Orthorhombic,Pnma,mmm
AlAsO4,152,Trigonal,P3_121,32
ZnSnAs2,122,Tetragonal,I-42d,-42m
SrZrS3,62,Orthorhombic,Pnma,mmm
ErB2Ir3,191,Hexagonal,P6/mmm,6/mmm
PrBRh3,221,Cubic,Pm-3m,m-3m
SrV6O15,14,Monoclinic,P2_1/c,2/m
Sc(PO3)3,220,Cubic,I-43d,-43m
CdSnP2,122,Tetragonal,I-42d,-42m
TiTe3O8,206,Cubic,Ia-3,m-3
NdNiGe2,63,Orthorhombic,Cmcm,mmm
Ho(SiOs)2,139,Tetragonal,I4/mmm,4/mmm
HfAlCo2,225,Cubic,Fm-3m,m-3m
ZrGeS,129,Tetragonal,P4/nmm,4/mmm
Sr2IrO4,142,Tetragonal,I4_1/acd,4/mmm
Nd(CoGe)2,139,Tetragonal,I4/mmm,4/mmm
Tl(CuSe)2,139,Tetragonal,I4/mmm,4/mmm
Li3BN2,14,Monoclinic,P2_1/c,2/m
Na2B2Se7,15,Monoclinic,C2/c,2/m
Mg3(BO3)2,58,Orthorhombic,Pnnm,mmm
Li2SiO3,36,Orthorhombic,Cmc2_1,mm2
Cs2BeF4,62,Orthorhombic,Pnma,mmm
CuAgS,62,Orthorhombic,Pnma,mmm
UAlRh,189,Hexagonal,P-62m,-6m2
YCo3B2,191,Hexagonal,P6/mmm,6/mmm
BaTiO3,160,Trigonal,R3m,3m
Er(SiRu)2,139,Tetragonal,I4/mmm,4/mmm
ZrP2O7,205,Cubic,Pa-3,m-3
Zr2CS,194,Hexagonal,P6_3/mmc,6/mmm
Pr(FeSi)2,139,Tetragonal,I4/mmm,4/mmm
K(RuO2)4,87,Tetragonal,I4/m,4/m
DyAsO4,141,Tetragonal,I4_1/amd,4/mmm
NdOF,166,Trigonal,R-3m,-3m
SrZnO2,62,Orthorhombic,Pnma,mmm
Mg2SiO4,227,Cubic,Fd-3m,m-3m
ErSnAu,216,Cubic,F-43m,-43m
Tm(MnGe)6,191,Hexagonal,P6/mmm,6/mmm
NdSnAu,186,Hexagonal,P6_3mc,6mm
Y2Si2O7,12,Monoclinic,C2/m,2/m
Ti3SiC2,194,Hexagonal,P6_3/mmc,6/mmm
BaIrO3,221,Cubic,Pm-3m,m-3m
Ce2Fe17N3,166,Trigonal,R-3m,-3m
BaCeO3,221,Cubic,Pm-3m,m-3m
Ho(MnGe)2,139,Tetragonal,I4/mmm,4/mmm
Ca19Ag8N7,225,Cubic,Fm-3m,m-3m
NdAlGe2O7,14,Monoclinic,P2_1/c,2/m
Na3In(PO4)2,12,Monoclinic,C2/m,2/m
Ba3NdRu2O9,194,Hexagonal,P6_3/mmc,6/mmm
Sr2YNbO6,14,Monoclinic,P2_1/c,2/m
Tl2Sn(AsS3)2,147,Trigonal,P-3,-3
Na2Mg(CO3)2,148,Trigonal,R-3,-3
Ba2Tl2CuO6,64,Orthorhombic,Cmce,mmm
Be3Al2(SiO3)6,192,Hexagonal,P6/mcc,6/mmm
Li16Nb2N8O,148,Trigonal,R-3,-3
SrSi2(BO4)2,62,Orthorhombic,Pnma,mmm
