formula_pretty,symmetry.number,symmetry.crystal_system,symmetry.symbol,symmetry.point_group
CsSc(WO4)2,164,Trigonal,P-3m1,-3m
Er5(SiSb)2,64,Orthorhombic,Cmce,mmm
CsSc(SO4)2,150,Trigonal,P321,32
Er3NiGe2,62,Orthorhombic,Pnma,mmm
Dy2(MoO4)3,15,Monoclinic,C2/c,2/m
CsTlF4,29,Orthorhombic,Pca2_1,mm2
CsSmBr3,62,Orthorhombic,Pnma,mmm
Dy2OsC2,62,Orthorhombic,Pnma,mmm
DyMoO5,14,Monoclinic,P2_1/c,2/m
Er5(In2Pt)2,55,Orthorhombic,Pbam,mmm
CsTm(MoO4)2,49,Orthorhombic,Pccm,mmm
CsLa(WO4)2,15,Monoclinic,C2/c,2/m
Er7(AgTe)2,44,Orthorhombic,Imm2,mm2
CsTmI3,62,Orthorhombic,Pnma,mmm
Cu2AgH(SeO5)2,12,Monoclinic,C2/m,2/m
CsGa(SO4)2,150,Trigonal,P321,32
Eu2(AsPt)3,123,Tetragonal,P4/mmm,4/mmm
Fe13Mo9,12,Monoclinic,C2/m,2/m
GaAsO6,61,Orthorhombic,Pbca,mmm
CsSm(MoO4)2,49,Orthorhombic,Pccm,mmm
Dy2Mo4O15,14,Monoclinic,P2_1/c,2/m
Cu2AgH(SO5)2,12,Monoclinic,C2/m,2/m
CsLu(MoO4)2,15,Monoclinic,C2/c,2/m
Dy2Sc3Si4,62,Orthorhombic,Pnma,mmm
CsHo(WO4)2,15,Monoclinic,C2/c,2/m
Dy2Fe17C3,194,Hexagonal,P6_3/mmc,6/mmm
CsEr(WO4)2,164,Trigonal,P-3m1,-3m
CuTeSeBr,14,Monoclinic,P2_1/c,2/m
CsSbS(O2F)2,33,Orthorhombic,Pna2_1,mm2
EuGaGe2O7,14,Monoclinic,P2_1/c,2/m
Dy2NiRuO6,14,Monoclinic,P2_1/c,2/m
CuAg2P2O7,15,Monoclinic,C2/c,2/m
Dy3(Si3Pd10)2,225,Cubic,Fm-3m,m-3m
Dy3(Al3Os)4,194,Hexagonal,P6_3/mmc,6/mmm
Er5SbPt2,140,Tetragonal,I4/mcm,4/mmm
Er5(ReO6)2,12,Monoclinic,C2/m,2/m
Dy3(P3Pd10)2,225,Cubic,Fm-3m,m-3m
Dy11(Mn2C3)6,217,Cubic,I-43m,-43m
CsP7,29,Orthorhombic,Pca2_1,mm2
Er5Ni2Sb,140,Tetragonal,I4/mcm,4/mmm
Er5BiPd2,140,Tetragonal,I4/mcm,4/mmm
CsTm(WO4)2,15,Monoclinic,C2/c,2/m
Dy2Au5F21,2,Triclinic,P-1,-1
CsTm(WO4)2,164,Trigonal,P-3m1,-3m
Er3Al3Cr2O12,230,Cubic,Ia-3d,m-3m
ErNbO2,141,Tetragonal,I4_1/amd,4/mmm
Dy4Mn,227,Cubic,Fd-3m,m-3m
CsHo(MoO4)2,15,Monoclinic,C2/c,2/m
Dy2Cu(GeO4)2,8,Monoclinic,Cm,m
Er5InNi2,140,Tetragonal,I4/mcm,4/mmm
Fe2PCO7,14,Monoclinic,P2_1/c,2/m
ErGeRh2,194,Hexagonal,P6_3/mmc,6/mmm
CuAg2(PO3)4,15,Monoclinic,C2/c,2/m
Fe5(GeO4)3,122,Tetragonal,I-42d,-42m
ErCu5Sn,62,Orthorhombic,Pnma,mmm
EuMoO2,141,Tetragonal,I4_1/amd,4/mmm
CsPO3,14,Monoclinic,P2_1/c,2/m
DySi3Ni5,62,Orthorhombic,Pnma,mmm
Fe(ClO2)2,14,Monoclinic,P2_1/c,2/m
Dy3(GeRh)2,57,Orthorhombic,Pbcm,mmm
Dy2(MoO4)3,32,Orthorhombic,Pba2,mm2
CsY(MoO4)2,164,Trigonal,P-3m1,-3m
CsPO3,62,Orthorhombic,Pnma,mmm
Dy4Ni,227,Cubic,Fd-3m,m-3m
CsPtBr3,62,Orthorhombic,Pnma,mmm
LaP3O14,18,Orthorhombic,P2_12_12,222
HoZr6(PO4)9,165,Trigonal,P-3c1,-3m
CuH2(NCl2)2,136,Tetragonal,P4_2/mnm,4/mmm
CsGaAgF6,62,Orthorhombic,Pnma,mmm
ZrMo,65,Orthorhombic,Cmmm,mmm
ZrScFe4,216,Cubic,F-43m,-43m
ZrTi3As2,107,Tetragonal,I4mm,4mm
ZrTaB4,191,Hexagonal,P6/mmm,6/mmm
ZrSiW4,216,Cubic,F-43m,-43m
ZrNbB4,191,Hexagonal,P6/mmm,6/mmm
ZrTaCr4,216,Cubic,F-43m,-43m
ZrNbCo4,216,Cubic,F-43m,-43m
ZrNbAl6,123,Tetragonal,P4/mmm,4/mmm
ZrNbCr4,216,Cubic,F-43m,-43m
ZrMoC2,166,Trigonal,R-3m,-3m
ZrTaC2,166,Trigonal,R-3m,-3m
ZrMoW,74,Orthorhombic,Imma,mmm
ZrTiCr4,164,Trigonal,P-3m1,-3m
ZrNbC2,166,Trigonal,R-3m,-3m
ZrNbB2,38,Orthorhombic,Amm2,mm2
ZrNbFe4,216,Cubic,F-43m,-43m
ZrTaCN,160,Trigonal,R3m,3m
ZrScMnNi3,160,Trigonal,R3m,3m
ZrTaTe4,164,Trigonal,P-3m1,-3m
ZrTi4Be5,123,Tetragonal,P4/mmm,4/mmm
ZrTiMn4,164,Trigonal,P-3m1,-3m
ZrMo2,69,Orthorhombic,Fmmm,mmm
ZrNbCN,160,Trigonal,R3m,3m
ZrNb3C4,166,Trigonal,R-3m,-3m
ZrMnNi,74,Orthorhombic,Imma,mmm
ZrTiZn4O8,12,Monoclinic,C2/m,2/m
ZrTi,123,Tetragonal,P4/mmm,4/mmm
ZrNb2VC4,160,Trigonal,R3m,3m
ZrSc(NiSn)2,160,Trigonal,R3m,3m
ZrVFe,38,Orthorhombic,Amm2,mm2
ZrTi2Al,38,Orthorhombic,Amm2,mm2
ZrNb4CN4,160,Trigonal,R3m,3m
ZrNb2Pd9,139,Tetragonal,I4/mmm,4/mmm
ZrTi(NiH3)2,38,Orthorhombic,Amm2,mm2
ZrTaN2,166,Trigonal,R-3m,-3m
ZrUN2,166,Trigonal,R-3m,-3m
ZrB4Mo,191,Hexagonal,P6/mmm,6/mmm
ZrAlW4,216,Cubic,F-43m,-43m
ZrCo4Si,216,Cubic,F-43m,-43m
ZrFe4Si,216,Cubic,F-43m,-43m
ZrTaSi,38,Orthorhombic,Amm2,mm2
ZrNbN2,166,Trigonal,R-3m,-3m
